store_id,name_salon,star,review,pop_score,price,seats,access,link_detail
slnH000658911,mood tatemachi髪質改善カラー&ショート【ムード タテマチ カミシツカイゼン カラー】,4.73,776.0,31.48,1100.0,8.0,バス停 片町徒歩5分/大工町徒歩1分［ダブルカラー/インナーカラー/韓国/ブリーチ］,https://beauty.hotpepper.jp/slnH000658911/
slnH000495411,GATTACA,4.87,221.0,26.31,5500.0,8.0,金沢駅から徒歩20分　尾山神社と名鉄エムザの真ん中辺りにあります。,https://beauty.hotpepper.jp/slnH000495411/
slnH000579939,LEF【レフ】,4.76,291.0,27.02,4500.0,5.0,タテマチストリート沿い/ローソン・カーハートさん向かい/片町きららから徒歩4分,https://beauty.hotpepper.jp/slnH000579939/
slnH000382917,Nought 金沢【ノート】,4.85,1082.0,33.89,4000.0,6.0,竪町ストリート沿いローソン近く[金沢駅/片町/ブリーチ/ダブルカラー/ボブ/韓国/学割],https://beauty.hotpepper.jp/slnH000382917/
slnH000753602,TOTAL BEAUTY BREK 金沢もりの里店,5.0,7.0,10.4,2500.0,6.0,兼六園方面へ国道22号線 ニトリ金沢田上店を進み 左側　#グラデーションカラー＃金沢,https://beauty.hotpepper.jp/slnH000753602/
slnH000701214,Joule 金沢 【ジュール】,4.95,369.0,29.27,4000.0,6.0,【ボブ×ブリーチなしカラー&韓国レイヤー】片町きららから徒歩5分[金沢],https://beauty.hotpepper.jp/slnH000701214/
slnH000360628,Agu hair cardinal 片町店【アグ ヘアー カーディナル】,4.83,825.0,32.44,2200.0,8.0,竪町ストリート沿い◆CoCoTTo KANAZAWA近く,https://beauty.hotpepper.jp/slnH000360628/
slnH000077976,ALEXANDRE　OF　COLORS　MORINOSATO,4.43,255.0,24.57,4000.0,15.0,イオン杜の里(もりのさと)近く・Vドラック道路を挟んで隣にあります。テナント内,https://beauty.hotpepper.jp/slnH000077976/
slnH000693331,number+ 竪町【ナンバー タテマチ】,4.89,186.0,25.58,4500.0,5.0,金沢駅より車で10分,https://beauty.hotpepper.jp/slnH000693331/
slnH000456895,8 HAIR　【エイトヘアー】,4.84,192.0,25.47,6050.0,12.0,タテマチストリート内,https://beauty.hotpepper.jp/slnH000456895/
slnH000699322,BOB men’s 金沢【ボブ　メンズ】,4.94,115.0,23.48,3000.0,5.0,竪町ストリート沿い「OMO5金沢片町」隣り[men's/ニュアンスパーマ/ブリーチ/学割U24],https://beauty.hotpepper.jp/slnH000699322/
slnH000359222,canvas,4.87,116.0,23.19,5500.0,5.0,竪町ストリート沿い/竪町広場近く,https://beauty.hotpepper.jp/slnH000359222/
slnH000673616,MEN'S HAIR BLEACHi 金沢店【メンズ ヘア ブリーチ】（旧：BLEACHi 金沢店）,4.91,187.0,25.71,4500.0,8.0,マクドナルド片町側から竪町ストリートに入りしばらく直進すると左側２階にあります◎,https://beauty.hotpepper.jp/slnH000673616/
slnH000443189,EIGHT kanazawa 金沢店 【エイト】,4.57,570.0,29.01,3000.0,7.0,めいてつ・エムザからすぐ　HAKOMACHIすぐ裏【金沢/金沢駅】,https://beauty.hotpepper.jp/slnH000443189/
slnH000291117,nambu-SKY【ナンブスカイ】,4.46,147.0,22.29,6050.0,13.0,田上カーマホームセンター敷地内(ふらん・どーるヴァレ店横入り口)　 TEL076-231-2355,https://beauty.hotpepper.jp/slnH000291117/
slnH000730915,DOA【ドア】,4.86,29.0,16.53,5500.0,1.0,バス停香林坊から徒歩3分,https://beauty.hotpepper.jp/slnH000730915/
slnH000548942,hair salon calm,4.76,41.0,17.79,3200.0,4.0,石川県立図書館近く、片町から車で10分、兼六園から車で5分。,https://beauty.hotpepper.jp/slnH000548942/
slnH000659811,Agu hair shade もりの里店【アグ ヘアー シェード】,4.6,477.0,28.38,2200.0,8.0,金沢駅車17分、東金沢駅車1５分、野町駅車17分、もりの里イオン、第7餃子さん近く,https://beauty.hotpepper.jp/slnH000659811/
slnH000218979,ＶＩＳＥ 髪質改善 縮毛矯正専門店(旧:ＶＩＳＥ by Art Creative),4.84,97.0,22.19,5500.0,7.0,片町きらら近く/竪町ストリート沿いローソンの目の前のビル2F【エクステ/髪質改善】,https://beauty.hotpepper.jp/slnH000218979/
slnH000291399,HANABUSA 田上店 【ハナブサ】,4.65,401.0,27.88,4730.0,12.0,ニトリ田上店近く　金沢駅から車20分◇学割U24/ブリーチ/ハイライト/メンズカット韓国,https://beauty.hotpepper.jp/slnH000291399/
slnH000746968,Revo　片町店【レボ】,4.76,86.0,21.26,4400.0,8.0,バス停「片町」徒歩1分,https://beauty.hotpepper.jp/slnH000746968/
slnH000597127,link by vise～髪質改善～【リンクバイビセ】,4.73,83.0,20.96,4400.0,4.0,お店カラオケコートダジュール金沢田上さん隣。大通りを挟み前方にラーメン岩本屋あり,https://beauty.hotpepper.jp/slnH000597127/
slnH000675113,JUDD,5.0,19.0,14.98,4500.0,2.0,竪町商店街から徒歩5分。お車でお越しの際は近隣のコインパーキングをご利用下さい。,https://beauty.hotpepper.jp/slnH000675113/
slnH000454179,ATLUS 【アトラス】,4.94,40.0,18.35,2300.0,2.0,JR金沢駅から車で30分/もりの里エリア,https://beauty.hotpepper.jp/slnH000454179/
slnH000234236,Vａｌｅｎｔｉ　ｊ,4.65,32.0,16.26,3980.0,3.0,山側環状線　ミスタードーナツ・エイム近く,https://beauty.hotpepper.jp/slnH000234236/
slnH000354294,hair design salon 246,4.74,736.0,31.3,4000.0,10.0,【杜の里近く】鈴見交差点・浅野川そば,https://beauty.hotpepper.jp/slnH000354294/
slnH000341563,AUBE HAIR lefeel　金沢店 【オーブ ヘアー レフィール】,4.82,75.0,20.87,3900.0,9.0,めいてつ・エムザ向かい,https://beauty.hotpepper.jp/slnH000341563/
slnH000222346,Ｓｕｎｂａｔｈ　もりの里店,4.63,30.0,15.9,2500.0,2.0,JR金沢駅から車で30分,https://beauty.hotpepper.jp/slnH000222346/
slnH000573621,AUBE HAIR plus　金沢2号店 【オーブ へアー プラス】,4.78,353.0,28.06,3900.0,12.0,北鉄バス【若松西】バス停☆徒歩1分,https://beauty.hotpepper.jp/slnH000573621/
slnH000297093,putti 【プッティ】,4.87,114.0,23.11,5500.0,16.0,山側環状沿い、もりの里、ペンギンベーカリーさん隣,https://beauty.hotpepper.jp/slnH000297093/
slnH000467375,Liberta【リベルタ】,4.95,34.0,17.6,3850.0,2.0,川北病院近く。六斗の広見沿い。,https://beauty.hotpepper.jp/slnH000467375/
slnH000744334,髪質改善特化型サロンHEUREUX HEURE 金沢もりの里店【ウル―ウール】,4.9,30.0,16.83,4200.0,2.0,金沢駅から車で15分/鈴見台1丁目バス停から34m ファミリーマートしばはら杜の里店近く,https://beauty.hotpepper.jp/slnH000744334/
